Task ID,Description,Start,End,Duration
T1,Literature Review and Requirement Analysis,10/1/2025,10/15/2025,14
T2,System Architecture Design,10/16/2025,10/31/2025,15
T3,Database Design (MySQL + TimescaleDB),11/1/2025,11/10/2025,9
T4,Backend Development (FastAPI),11/11/2025,11/30/2025,19
T5,Predictive Risk Engine (Logistic Regression),12/1/2025,12/10/2025,9
T6,Rule-Based CDSS Implementation,12/11/2025,12/20/2025,9
T7,LLM Fine-Tuning (Llama 3.2-1B),12/21/2025,1/5/2026,15
T8,Frontend & Dashboard Development,1/6/2026,1/20/2026,14
T9,Testing & Debugging (Full System),1/21/2026,2/5/2026,15
T10,Documentation & Report Writing,2/6/2026,2/8/2026,2
